5_year_interval,price
1845,46592.333333333336
1850,99189.0
1865,24740.0
1870,9006.0
1875,17045.0
1880,28308.714285714286
1885,38042.4
1890,13110.454545454546
1895,9646.0
1900,11467.266666666666
1905,12516.2
1910,9891.09090909091
1915,22116.833333333332
1920,16608.583333333332
1925,22695.285714285714
1930,12795.0
1935,41228.53333333333
1940,25806.18181818182
1945,32903.03846153846
1950,32803.31578947369
1955,22171.966666666667
1960,18791.938271604937
1965,57687.88888888889
1970,15437.241935483871
1975,79916.43939393939
1980,80071.29203539823
1985,50785.01754385965
1990,46565.1
1995,45823.745762711864
2000,49902.665714285715
2005,80922.72756933115
2010,98014.55081967213
2015,134999.51550108148
2020,145029.3390227577
